claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
12107,31,M,1.0,89,34346,1,0,Own,50023,9/13/2015,Sunday,Local,2,1.0,96,Phone,1,8441.269945999999,8.0,Medium,15974.9481,gray,9997.01697,0
27468,34,F,1.0,74,35252,1,0,Own,20110,7/12/2015,Sunday,Local,0,1.0,49,Broker,1,9041.408453,2.0,Compact,17572.77151,blue,17187.97334,0
9230,59,F,0.0,78,40759,0,1,Rent,15001,2/22/2016,Monday,Local,0,1.0,16,Phone,1,3610.124732,3.0,Medium,20929.46327,white,13853.88838,0
25890,61,M,1.0,78,41105,1,1,Own,85067,10/10/2016,Monday,Local,0,0.0,94,Phone,1,4776.812119,2.0,Large,15667.19061,black,13672.90096,0
14997,22,F,0.0,40,30906,1,1,Own,85066,6/26/2016,Sunday,Local,2,0.0,47,Online,1,2457.879159,5.0,Large,19181.00341,red,31038.53706,0
1995,71,M,1.0,90,42626,1,1,Own,15035,6/7/2015,Sunday,Highway,0,0.0,21,Phone,1,5585.971625,4.0,Medium,17865.40805,blue,19796.17547,0
26782,52,M,0.0,81,39513,1,0,Rent,20134,2/25/2016,Thursday,Local,1,0.0,100,Broker,1,2800.7575100000004,4.0,Medium,39702.7006,red,16800.4489,0
14992,46,M,1.0,84,38283,1,0,Own,20112,3/7/2016,Monday,Local,0,0.0,1,Broker,0,7051.442908,5.0,Medium,21325.5156,other,31417.57125,0
3294,44,F,0.0,74,37841,0,1,Own,15021,2/11/2015,Wednesday,Parking Lot,0,0.0,39,Broker,0,3211.1340760000003,6.0,Large,7655.81772,silver,18198.35955,0
10773,45,F,1.0,52,38063,1,1,Own,50006,5/10/2015,Sunday,Local,0,0.0,100,Broker,1,8327.847792,7.0,Large,34146.99279,gray,21326.95806,0
17123,62,F,1.0,92,41271,0,1,Own,15044,11/1/2016,Tuesday,Local,1,0.0,82,Broker,1,8182.551455,4.0,Compact,27075.44857,black,47192.85994,0
6294,42,M,1.0,65,37398,0,1,Own,80005,10/16/2016,Sunday,Local,0,1.0,19,Broker,0,6935.404161,7.0,Medium,11405.46243,black,22203.06793,0
16503,69,M,0.0,65,42359,1,1,Own,85011,6/6/2015,Saturday,Local,1,0.0,7,Broker,1,6292.660304999999,2.0,Large,19372.85523,silver,12622.5669,0
4217,51,M,1.0,43,39306,1,1,Own,80106,2/16/2015,Monday,Local,0,0.0,95,Broker,0,4921.8425990000005,3.0,Compact,5717.00138,blue,18412.22076,0
15190,42,F,1.0,72,37384,1,1,Rent,20146,11/6/2015,Friday,Parking Lot,0,0.0,29,Phone,0,5822.005131,2.0,Compact,21242.41364,other,53274.505110000006,0
813,34,M,0.0,69,35247,0,1,Rent,50040,1/8/2015,Thursday,Local,0,0.0,20,Phone,1,6547.056252,6.0,Large,33804.8703,other,30415.644460000003,0
18371,38,M,0.0,84,36383,1,0,Own,20121,6/23/2015,Tuesday,Local,0,0.0,72,Broker,1,3289.294262,2.0,Medium,12463.45906,black,21432.82597,0
173,61,M,1.0,40,41114,1,0,Own,15001,9/7/2016,Wednesday,Parking Lot,1,0.0,7,Broker,1,11188.70141,7.0,Large,36338.65456,white,16730.27499,0
25898,56,M,1.0,59,40260,1,0,Own,15012,4/28/2016,Thursday,Local,0,0.0,50,Broker,0,4078.805267,7.0,Large,19103.5149,other,30669.10941,0
10538,56,M,0.0,79,40253,1,0,Own,0,7/15/2015,Wednesday,Parking Lot,0,1.0,84,Broker,0,10390.08246,4.0,Compact,11715.74999,black,12809.46365,0
6979,43,F,0.0,68,37623,1,1,Own,80017,9/4/2015,Friday,Highway,0,0.0,19,Broker,1,5052.602524,2.0,Compact,29677.409260000004,white,26434.39098,0
17080,65,M,0.0,55,41723,0,1,Own,15012,5/2/2016,Monday,Parking Lot,2,0.0,17,Broker,1,5619.659141,9.0,Large,35754.965939999995,red,14066.22924,0
19660,35,M,1.0,69,35556,1,0,Own,50003,1/17/2016,Sunday,Local,0,1.0,1,Broker,1,3059.294639,4.0,Compact,57707.60034,black,37898.30075,0
1760,45,F,1.0,76,38063,1,0,Rent,85031,12/6/2016,Tuesday,Local,2,1.0,100,Online,1,7914.097156,7.0,Compact,9978.367163,white,18423.32278,0
2269,24,M,1.0,77,31776,1,0,Rent,85067,5/26/2015,Tuesday,Parking Lot,0,0.0,93,Online,0,5623.138874,8.0,Large,29332.83516,other,31002.70642,0
17237,36,F,1.0,54,35833,1,0,Rent,85011,9/19/2016,Monday,Parking Lot,4,0.0,23,Broker,1,5132.84128,2.0,Medium,34794.11983,black,24062.4881,0
1801,43,F,1.0,95,37626,1,0,Own,80022,1/27/2015,Tuesday,Highway,0,0.0,53,Phone,0,4492.221163,2.0,Large,25377.09986,other,32895.18705,0
21724,56,M,1.0,68,40246,1,0,Own,80014,8/29/2015,Saturday,Local,0,0.0,46,Broker,1,5623.859116,2.0,Compact,24257.83661,red,26862.87225,0
27379,37,F,1.0,78,36102,1,1,Own,80010,1/4/2016,Monday,Parking Lot,0,0.0,1,Broker,0,7693.520837999999,3.0,Large,33327.50342,gray,17763.784069999998,0
11878,28,M,1.0,61,33328,1,0,Rent,80104,5/15/2015,Friday,Parking Lot,1,0.0,50,Online,0,5248.004482,7.0,Large,28273.895160000004,silver,19246.91398,0
4647,54,M,1.0,65,39876,1,0,Own,85077,7/9/2015,Thursday,Local,1,1.0,5,Broker,1,1902.615516,3.0,Medium,33368.49943,gray,22670.15175,0
15925,51,M,0.0,83,39332,1,0,Rent,80034,2/15/2016,Monday,Local,2,1.0,49,Broker,1,2594.03231,5.0,Large,11253.81089,black,37137.344,0
19482,46,F,1.0,89,38285,1,0,Rent,15060,10/7/2016,Friday,Local,1,0.0,5,Phone,1,7805.160284,6.0,Medium,28892.440560000003,gray,19255.95297,0
2189,39,M,1.0,90,36640,0,0,Own,15042,11/26/2016,Saturday,Parking Lot,0,0.0,32,Broker,0,8315.87622,1.0,Medium,36365.67479,black,4208.538681,0
28860,36,M,0.0,73,35824,1,0,Own,80041,8/23/2015,Sunday,Local,0,1.0,92,Online,1,7259.4468,6.0,Medium,35403.00145,black,13857.760380000002,0
6232,38,F,1.0,83,36370,1,1,Own,85004,6/28/2016,Tuesday,Parking Lot,0,0.0,4,Broker,0,6127.4264,8.0,Compact,26867.32194,silver,23918.19016,0
25433,36,F,1.0,85,35827,1,1,Rent,20149,7/7/2016,Thursday,Parking Lot,0,0.0,100,Online,1,1771.555502,5.0,Large,36336.94271,black,16381.46109,0
18315,45,M,0.0,85,38058,1,1,Own,50025,4/29/2016,Friday,Local,1,0.0,73,Broker,0,3336.370473,5.0,Compact,31261.1234,red,22561.51834,0
5956,34,F,1.0,70,35262,1,0,Own,80003,8/29/2015,Saturday,Highway,2,0.0,9,Phone,1,3316.482996,5.0,Large,8801.847334999999,black,10752.94346,0
11590,30,M,0.0,76,34013,1,0,Own,50002,8/1/2016,Monday,Parking Lot,0,0.0,6,Broker,1,7151.587305,7.0,Medium,13484.46747,black,22443.04535,0
5962,39,M,0.0,62,36646,0,0,Own,15025,4/17/2015,Friday,Local,1,1.0,0,Broker,1,3699.358958,2.0,Large,29245.02266,silver,20199.3998,0
6976,50,M,1.0,80,39106,0,1,Own,85029,1/6/2016,Wednesday,Local,2,0.0,97,Broker,0,6218.119507,5.0,Medium,34903.51311,white,24118.04759,0
10067,40,F,0.0,75,36895,1,0,Rent,50012,12/25/2016,Sunday,Parking Lot,0,0.0,15,Broker,1,3966.529358,5.0,Medium,9293.291291,gray,19442.70322,0
7702,65,M,1.0,61,41752,1,1,Own,50032,3/6/2015,Friday,Local,1,1.0,4,Broker,1,2981.792503,4.0,Compact,16702.73629,silver,20000.83232,0
11164,55,M,1.0,76,40070,1,1,Own,80010,5/22/2015,Friday,Highway,0,0.0,55,Broker,1,3585.63053,4.0,Medium,17846.44004,black,7760.109299,0
20837,52,F,1.0,92,39513,1,1,Rent,50056,5/25/2016,Wednesday,Parking Lot,3,0.0,51,Broker,1,5811.763289,3.0,Medium,11020.9075,silver,33082.6331,0
25552,22,M,1.0,87,30907,1,1,Own,80017,12/30/2015,Wednesday,Highway,0,1.0,20,Online,1,4175.8638200000005,5.0,Compact,38192.78917,blue,22541.48096,0
6929,33,M,1.0,92,34964,1,1,Rent,50021,4/7/2016,Thursday,Local,0,0.0,20,Broker,0,1471.264199,3.0,Large,8239.262756999999,silver,31347.61669,0
17159,59,F,1.0,53,40753,0,0,Own,15006,2/3/2016,Wednesday,Parking Lot,2,0.0,83,Phone,1,4683.602606,11.0,Medium,9128.66462,red,20610.73453,0
18444,33,F,1.0,92,34960,0,1,Own,80036,7/4/2016,Monday,Highway,0,0.0,1,Broker,0,4511.947944,3.0,Compact,8403.916281,silver,20376.39775,0
16280,39,M,0.0,70,36627,1,1,Rent,80041,8/6/2016,Saturday,Highway,0,0.0,50,Phone,1,8528.731379,3.0,Medium,37536.25863,black,23814.81314,0
21131,40,F,1.0,67,36888,1,1,Own,20147,4/4/2015,Saturday,Local,0,0.0,44,Phone,0,1440.1175119999998,7.0,Large,24647.4391,blue,14215.0532,0
23983,39,F,1.0,64,36629,0,0,Rent,15019,9/18/2015,Friday,Highway,0,0.0,99,Broker,0,3761.641684,5.0,Large,30812.780110000003,other,35976.32015,0
12662,39,F,1.0,85,36636,0,0,Rent,85067,12/17/2015,Thursday,Local,0,0.0,2,Broker,1,7304.575784000001,4.0,Medium,53902.24208,white,7911.654042,0
3312,43,F,1.0,94,37618,0,1,Own,50021,5/5/2015,Tuesday,Local,0,0.0,7,Broker,1,3336.193464,6.0,Large,40922.86962,black,16520.57332,0
15010,49,F,1.0,60,38919,0,1,Own,80011,1/17/2016,Sunday,Highway,1,1.0,22,Broker,1,6179.305554,8.0,Compact,18826.97147,black,5297.888158,0
18563,58,M,0.0,55,40590,1,1,Own,20148,9/22/2015,Tuesday,Local,0,1.0,82,Phone,1,4040.499583,3.0,Compact,26370.49374,other,35561.927789999994,0
16765,36,F,1.0,97,35852,0,0,Rent,85026,8/30/2015,Sunday,Local,0,0.0,18,Broker,1,5483.691905,8.0,Compact,34048.61739,gray,56343.83549,0
12956,41,M,1.0,86,37137,1,1,Own,50005,7/16/2016,Saturday,Highway,0,0.0,100,Broker,1,4199.024392,5.0,Compact,23138.80604,white,80228.62333999999,0
2642,54,F,1.0,77,39886,1,1,Own,15059,10/12/2016,Wednesday,Highway,0,0.0,16,Phone,1,2636.376448,5.0,Medium,20698.84364,gray,16270.13274,0
16090,52,F,0.0,61,39499,1,1,Own,20148,5/1/2015,Friday,Highway,0,1.0,27,Broker,0,5517.82481,5.0,Large,33402.17852,silver,17360.765519999997,0
953,41,F,1.0,85,37144,1,1,Rent,15021,8/25/2015,Tuesday,Parking Lot,0,0.0,4,Online,0,4079.061096,8.0,Large,29902.49661,other,27589.61322,0
22495,23,F,1.0,76,31367,1,0,Rent,20132,1/17/2016,Sunday,Local,0,1.0,95,Online,1,4388.215033,5.0,Large,25102.2925,gray,14566.913369999998,0
6544,28,F,0.0,67,33321,0,0,Rent,85073,9/18/2016,Sunday,Local,2,0.0,31,Online,1,3015.992679,6.0,Compact,11752.96986,gray,13396.77122,0
14023,42,M,0.0,74,37379,0,0,Rent,15022,1/31/2015,Saturday,Highway,0,0.0,4,Phone,1,1455.312872,4.0,Compact,19912.4806,other,4484.8840390000005,0
15682,43,F,1.0,84,37607,1,0,Own,80003,7/2/2015,Thursday,Local,0,0.0,99,Broker,1,6526.504068,6.0,Large,19604.10783,black,27027.086010000003,0
1970,32,M,0.0,80,34675,1,1,Rent,15026,5/27/2015,Wednesday,Local,0,1.0,11,Phone,0,6978.815567000001,3.0,Medium,6090.215145,black,23500.5896,0
22605,86,M,0.0,74,44557,0,0,Rent,80019,3/18/2016,Friday,Highway,0,0.0,98,Broker,0,6638.303678,6.0,Compact,7400.007490999999,red,19878.5624,0
15617,39,F,0.0,95,36622,0,0,Own,15009,2/19/2015,Thursday,Parking Lot,0,0.0,91,Broker,1,4322.1099810000005,9.0,Large,11198.47079,silver,20838.37665,0
21940,46,M,1.0,86,38284,1,1,Own,50021,11/10/2015,Tuesday,Highway,0,0.0,65,Phone,1,5666.378383,8.0,Compact,22207.21352,black,40043.05434,0
20364,25,M,1.0,79,32204,0,0,Rent,50005,3/11/2015,Wednesday,Local,0,0.0,85,Online,1,3866.862144,1.0,Compact,24371.88972,gray,27172.22697,0
10608,34,M,1.0,89,35243,1,0,Own,85079,1/15/2015,Thursday,Local,2,0.0,4,Phone,0,1744.2506039999998,4.0,Medium,8082.597781999999,gray,14344.38926,0
13375,44,F,0.0,92,37844,1,0,Own,85026,3/21/2016,Monday,Local,1,0.0,23,Phone,0,4968.44573,7.0,Large,7840.138033,black,9351.186562,0
16224,48,M,0.0,44,38714,1,1,Rent,80046,1/5/2016,Tuesday,Local,0,0.0,92,Broker,1,5674.536369,6.0,Large,27160.93915,silver,6397.037938,0
15257,52,F,1.0,62,39492,0,1,Rent,50049,11/4/2015,Wednesday,Highway,1,1.0,1,Broker,1,3381.0780130000003,8.0,Compact,22908.52362,gray,9235.675684,0
15950,52,M,1.0,85,39516,1,1,Rent,80038,11/10/2016,Thursday,Local,0,1.0,84,Phone,0,5539.978378,7.0,Compact,19285.61872,gray,9228.473336,0
20730,50,F,0.0,87,39105,1,1,Rent,50025,4/25/2015,Saturday,Local,0,0.0,58,Online,1,3203.583899,4.0,Medium,20488.00888,white,19839.17789,0
15967,42,M,1.0,70,37376,0,1,Rent,15022,10/20/2016,Thursday,Parking Lot,2,0.0,64,Phone,1,4485.880856000001,6.0,Large,38107.78634,black,10882.12578,0
27928,36,M,1.0,70,35840,1,0,Own,20151,5/2/2016,Monday,Local,0,1.0,50,Broker,1,4819.804368,5.0,Medium,32678.17915,blue,10619.92043,0
22207,43,F,1.0,73,37613,1,1,Own,20140,4/12/2015,Sunday,Highway,2,0.0,50,Broker,1,3773.706431,7.0,Medium,20287.45886,blue,10895.15397,0
5325,53,M,1.0,54,39712,1,1,Rent,85050,7/15/2016,Friday,Parking Lot,0,0.0,97,Online,1,8569.333273999999,8.0,Large,28587.9905,red,46873.87452,0
23387,29,M,0.0,89,33687,1,0,Rent,20115,8/23/2015,Sunday,Highway,3,1.0,13,Online,1,3230.695561,4.0,Large,13934.12138,blue,16306.73439,0
6709,29,F,1.0,89,33680,1,1,Own,85033,10/31/2016,Monday,Highway,0,0.0,94,Online,1,3959.448961,8.0,Compact,36753.19516,gray,43720.70371,0
14231,55,M,1.0,33,40064,1,1,Rent,85003,5/16/2016,Monday,Local,0,0.0,5,Broker,0,4308.135786,2.0,Medium,21218.29882,other,23752.44213,0
691,45,M,1.0,77,38074,1,1,Own,50037,1/16/2016,Saturday,Highway,0,0.0,92,Broker,1,9641.94029,6.0,Medium,44269.968660000006,blue,15867.512030000002,0
28755,46,M,1.0,55,38289,1,1,Own,20111,10/12/2015,Monday,Highway,1,1.0,90,Broker,1,3816.134324,4.0,Compact,18316.89145,silver,32850.75688,0
7200,42,M,1.0,68,37372,1,0,Own,80033,8/21/2015,Friday,Highway,0,1.0,99,Phone,1,8960.339111,3.0,Compact,36068.4407,silver,36605.85228,0
26840,37,M,1.0,41,36102,0,1,Rent,50049,3/31/2015,Tuesday,Parking Lot,0,0.0,67,Phone,1,6362.8854,5.0,Medium,35171.66075,black,17684.1955,0
24636,53,F,1.0,94,39713,0,0,Own,85078,8/26/2015,Wednesday,Local,0,0.0,3,Broker,0,8971.814119,4.0,Medium,33931.3619,other,18463.37739,0
26698,52,M,1.0,68,39505,0,0,Own,15021,3/17/2016,Thursday,Local,0,0.0,51,Phone,1,981.2897025,4.0,Compact,11441.86242,red,21642.78824,0
23116,42,F,1.0,77,37372,0,1,Own,85063,9/7/2015,Monday,Parking Lot,0,0.0,15,Broker,0,6255.089253,10.0,Medium,14565.69342,white,16808.62504,0
13529,39,F,1.0,97,36646,1,1,Own,20130,2/15/2016,Monday,Highway,0,0.0,96,Phone,1,3569.366699,4.0,Large,20969.32117,black,6222.119196,0
24453,39,M,1.0,79,36639,1,0,Rent,20136,6/6/2015,Saturday,Local,0,1.0,7,Broker,0,2214.847332,3.0,Large,7611.938695999999,white,19743.34206,0
